Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
225,The King of Comedy,PG,Comedy,1982,7.8,"February 18, 1983 ",94000,109,
226,Rocky III,PG,Drama,1982,6.8,"May 28, 1982 ",179000,99,
227,The Beastmaster,PG,Action,1982,6.2,"August 20, 1982 ",22000,118,
228,Creepshow,R,Comedy,1982,6.9,"November 12, 1982 ",44000,120,
229,The Man from Snowy River,PG,Adventure,1982,7.3,"November 5, 1982 ",8200,102,
230,Pink Floyd: The Wall,R,Drama,1982,8,"September 17, 1982 ",78000,95,
231,Cat People,R,Fantasy,1982,6.2,"April 2, 1982 ",20000,118,
232,Fanny and Alexander,R,Drama,1982,8.1,"December 17, 1982 ",59000,188,
233,Friday the 13th Part III,R,Horror,1982,5.7,"August 13, 1982 ",49000,95,
234,Firefox,PG,Action,1982,6,"June 18, 1982 ",26000,136,
235,Halloween III: Season of the Witch,R,Horror,1982,5,"October 22, 1982 ",45000,98,
236,The Dark Crystal,PG,Adventure,1982,7.2,"December 17, 1982 ",63000,93,
237,The Verdict,R,Drama,1982,7.7,"December 17, 1982 ",37000,129,
238,Pieces,Not Rated,Horror,1982,6.1,"September 23, 1983 ",9300,85,
239,Zapped!,R,Comedy,1982,4.9,"September 3, 1982 ",6500,98,
240,Six Pack,PG,Comedy,1982,5.9,"July 16, 1982 ",2800,108,
241,The World According to Garp,R,Comedy,1982,7.2,"July 23, 1982 ",25000,136,
242,Diner,R,Comedy,1982,7.1,"May 21, 1982 ",19000,110,
243,The Best Little Whorehouse in Texas,R,Comedy,1982,6,"July 23, 1982 ",10000,114,
244,The Year of Living Dangerously,PG,Drama,1982,7.1,"February 18, 1983 ",20000,115,
245,Night Shift,R,Comedy,1982,6.6,"July 30, 1982 ",15000,106,
246,Summer Lovers,R,Comedy,1982,5.7,"July 16, 1982 ",3900,98,
247,Victor Victoria,PG,Comedy,1982,7.6,"March 19, 1982 ",20000,134,
248,The Last Unicorn,G,Animation,1982,7.4,"November 19, 1982 ",25000,92,
249,The Entity,R,Drama,1982,6.7,"February 4, 1983 ",15000,125,
250,Airplane II: the Sequel,PG,Comedy,1982,6.2,"December 10, 1982 ",50000,85,
251,The Toy,PG,Comedy,1982,5.8,"December 10, 1982 ",11000,102,
252,The House on Sorority Row,R,Horror,1982,6,"July 28, 1983 ",7800,91,
