Id,Director,writer,actor,crew
1413,Michael Dinner,Stephen Neigher,Bobcat Goldthwait,56
1414,James Glickenhaus,James Glickenhaus,Peter Weller,93
1415,Robert Englund,Rhet Topham,Stephen Geoffreys,81
1416,James Dearden,James Dearden,Ben Kingsley,34
1417,Taylor Hackford,Frank Deford,Jessica Lange,72
1418,Chris Columbus,Chris Columbus,David Keith,34
1419,Keith Gordon,Robert Cormier,John Glover,127
1420,David Beaird,Richard Christian Matheson,George Newbern,127
1421,Sidney J. Furie,Kevin Alyn Elders,Louis Gossett Jr.,112
1422,William Webb,Richard Brandes,Richard Hatch,75
1423,Pen Densham,Tom Ropelewski,Joanna Pacula,27
1424,Janet Greek,Tracy Tormé,Tim Daly,42
1425,Paul Schrader,Patricia Hearst,Natasha Richardson,71
1426,Charles Sturridge,Evelyn Waugh,James Wilby,45
1427,Martin Campbell,Mark Kasdan,Gary Oldman,50
1428,Piers Haggard,John Galsworthy,Imogen Stubbs,68
1429,Aaron Norris,Andrew Deutsch,Tony Pierce,65
1430,Gordon Hessler,Richard Adams,Meg Tilly,26
1431,Marisa Silver,Jarre Fees,Alan Boyce,42
1432,William Tannen,Michael Blodgett,Chuck Norris,102
1433,Peter Bogdanovich,Michael Kaplan,Rob Lowe,27
1434,Nicolas Roeg,Dennis Potter,Theresa Russell,138
1435,Terence Davies,Terence Davies,Pete Postlethwaite,118
1436,John R. Cherry III,Ed Turner,Jim Varney,94
1437,Daniel Goldberg,Len Blum,Rebecca De Mornay,126
1438,Paul Mazursky,Charles G. Booth,Richard Dreyfuss,121
1439,Ken Russell,Oscar Wilde,Glenda Jackson,119
1440,Christopher Crowe,Christopher Crowe,Willem Dafoe,149
1441,Bill Fishman,Bill Fishman,John Cusack,48
1442,Martin Donovan,Martin Donovan,Hart Bochner,79
1443,Leonard Nimoy,Michael Bortman,Diane Keaton,141
1444,Steven Spielberg,Jeffrey Boam,Harrison Ford,66
1445,Rowdy Herrington,R. Lance Hill,Patrick Swayze,28
1446,Tim Burton,Bob Kane,Michael Keaton,28
1447,Stephen Herek,Chris Matheson,Keanu Reeves,75
1448,Phil Alden Robinson,W.P. Kinsella,Kevin Costner,107
1449,Peter Weir,Tom Schulman,Robin Williams,140
1450,Ron Clements,John Musker,Jodi Benson,147
1451,James Cameron,James Cameron,Ed Harris,61
1452,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,45
1453,Spike Lee,Spike Lee,Danny Aiello,126
1454,Joe Johnston,Stuart Gordon,Rick Moranis,129
1455,Roger Spottiswoode,Dennis Shryack,Tom Hanks,135
1456,Ted Kotcheff,Robert Klane,Andrew McCarthy,106
1457,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,140
1458,Steven Soderbergh,Steven Soderbergh,James Spader,101
1459,Rob Reiner,Nora Ephron,Billy Crystal,45
1460,David S. Ward,David S. Ward,Tom Berenger,38
1461,Herbert Ross,Robert Harling,Shirley MacLaine,99
1462,Mary Lambert,Stephen King,Dale Midkiff,71
1463,John Hughes,John Hughes,John Candy,125
1464,Ivan Reitman,Dan Aykroyd,Bill Murray,86
1465,Andrey Konchalovskiy,Randy Feldman,Sylvester Stallone,39
1466,Oliver Stone,Ron Kovic,Tom Cruise,42
1467,Edward Zwick,Kevin Jarre,Matthew Broderick,62
1468,Ron Howard,Lowell Ganz,Steve Martin,28
1469,Richard Donner,Jeffrey Boam,Mel Gibson,93
1470,Jeremiah S. Chechik,John Hughes,Chevy Chase,52
1471,Joe Dante,Dana Olsen,Tom Hanks,21
1472,Cameron Crowe,Cameron Crowe,John Cusack,56
1473,John Glen,Michael G. Wilson,Timothy Dalton,70
1474,Lewis Gilbert,Willy Russell,Pauline Collins,135
1475,Eddie Murphy,Eddie Murphy,Eddie Murphy,33
1476,John Flynn,Richard Smith,Sylvester Stallone,116
1477,Peter Greenaway,Peter Greenaway,Richard Bohringer,121
1478,Steve Miner,David Twohy,Julian Sands,20
1479,Arthur Hiller,Earl Barret,Richard Pryor,95
1480,Brian De Palma,Daniel Lang,Michael J. Fox,103
1481,Andrew Davis,John Bishop,Gene Hackman,98
1482,Jim Sheridan,Shane Connaughton,Daniel Day-Lewis,142
1483,Danny DeVito,Warren Adler,Michael Douglas,76
1484,Zalman King,Patricia Louisianna Knop,Mickey Rourke,101
1485,Richard Greenberg,Terry Rossio,Fred Savage,15
1486,Todd Holland,David Chisholm,Fred Savage,81
1487,Jay Levey,'Weird Al' Yankovic,'Weird Al' Yankovic,74
1488,Amy Heckerling,Amy Heckerling,John Travolta,17
1489,William Shatner,Gene Roddenberry,William Shatner,93
1490,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,92
1491,Don Bluth,Don Bluth,Dom DeLuise,20
1492,Albert Pyun,Albert Pyun,Jean-Claude Van Damme,110
1493,Steven Spielberg,Jerry Belson,Richard Dreyfuss,135
1494,George P. Cosmatos,David Webb Peoples,Peter Weller,23
1495,Robert Radler,Phillip Rhee,Eric Roberts,71
1496,Phillip Noyce,Terry Hayes,Nicole Kidman,68
1497,Mark DiSalle,Mark DiSalle,Jean-Claude Van Damme,85
1498,Ridley Scott,Craig Bolotin,Michael Douglas,68
1499,Jeff Kanew,Ava Ostern Fries,Shelley Long,78
1500,Bruce Beresford,Alfred Uhry,Morgan Freeman,133
1501,Gus Van Sant,James Fogle,Matt Dillon,54
1502,Stephen Hopkins,Wes Craven,Robert Englund,109
1503,Marc Rocco,Daniel Jay Franklin,Corey Feldman,132
1504,Dominique Othenin-Girard,John Carpenter,Donald Pleasence,121
1505,Sean S. Cunningham,Lewis Abernathy,Greg Evigan,83
1506,Harold Becker,Richard Price,Al Pacino,47
1507,Blake Edwards,Blake Edwards,John Ritter,47
1508,Rod Daniel,Steven Siegel,Jim Belushi,130
1509,John G. Avildsen,Michael Schiffer,Morgan Freeman,68
1510,Kenneth Branagh,William Shakespeare,Kenneth Branagh,23
1511,Stan Dragoti,Seth Winston,Tony Danza,104
1512,Rob Hedden,Rob Hedden,Jensen Daggett,37
1513,Dorian Walker,Robin Menken,Robyn Lively,115
1514,Milos Forman,Choderlos de Laclos,Colin Firth,27
1515,Michael Caton-Jones,Michael Thomas,John Hurt,51
1516,Steve Kloves,Steve Kloves,Jeff Bridges,102
1517,Wes Craven,Wes Craven,Michael Murphy,70
1518,John Irvin,Michael Jenning,Patrick Swayze,81
1519,Chris Walas,Mick Garris,Eric Stoltz,127
1520,Susan Seidelman,Fay Weldon,Meryl Streep,63
1521,Jim Jarmusch,Jim Jarmusch,Masatoshi Nagase,34
1522,Ron Shelton,Blaze Starr,Paul Newman,34
1523,Ken Russell,Ken Russell,Sammi Davis,115
1524,Graeme Clifford,Michael Tolkin,Christian Slater,136
1525,Michael Ritchie,Gregory McDonald,Chevy Chase,112
1526,Philippe Mora,Whitley Strieber,Christopher Walken,73
1527,Terry Jones,Terry Jones,Tim Robbins,44
1528,Woody Allen,Woody Allen,Martin Landau,92
1529,Peter Yates,Larry Brothers,Tom Selleck,144
1530,Joe Pytka,Jay Cronley,Richard Dreyfuss,69
1531,Joan Micklin Silver,Robin Schiff,Patrick Dempsey,54
1532,John Dahl,John Dahl,Val Kilmer,101
1533,Jamie Uys,Jamie Uys,N!xau,94
1534,Michael Anderson,John Varley,Kris Kristofferson,42
1535,Emile Ardolino,Perry Howze,Cybill Shepherd,94
1536,Howard Zieff,Jon Connolly,Michael Keaton,60
1537,Uli Edel,Hubert Selby Jr.,Jennifer Jason Leigh,35
1538,Masami Hata,Chris Columbus,Gabriel Damon,54
1539,J. Lee Thompson,Harold Nebenzal,Charles Bronson,135
1540,Jim McBride,Myra Lewis,Dennis Quaid,120
1541,Woody Allen,Richard Price,Woody Allen,26
1542,Joel Schumacher,Jean-Charles Tacchella,Ted Danson,108
1543,Phillip Noyce,Ryôzô Kasahara,Rutger Hauer,29
1544,Jim Wynorski,Neil Cuthbert,Dick Durock,99
1545,Pat O'Connor,John Patrick Shanley,Kevin Kline,36
1546,Neil Jordan,David Mamet,Robert De Niro,106
1547,Walter Hill,John Godey,Mickey Rourke,26
1548,Paul Flaherty,Robert Conte,John Candy,97
1549,Carl Schenkel,Albert Z. Carr,Denzel Washington,16
1550,Roland Joffé,Bruce Robinson,Paul Newman,88
1551,Peter Bonerz,Neal Israel,Bubba Smith,34
1552,Bruce Beresford,Charlie Peters,Tom Selleck,84
1553,David Webb Peoples,David Webb Peoples,Rutger Hauer,51
1554,Buddy Van Horn,John Eskow,Clint Eastwood,42
1555,Francis Veber,Francis Veber,Nick Nolte,31
1556,Stuart Gordon,Stuart Gordon,Gary Graham,50
1557,Thomas J. Wright,Dennis Hackin,Hulk Hogan,84
1558,Sidney Lumet,Vincent Patrick,Sean Connery,84
1559,Larry Cohen,Larry Cohen,Bette Davis,52
1560,Mick Jackson,James Cresson,Gary Oldman,93
1561,Jeff Burr,Carolyn Lefcourt,Terry O'Quinn,103
1562,Jean-Claude Lord,P.F. Kluge,Michael Paré,38
1563,Christopher Guest,Michael Varhol,Kevin Bacon,63
1564,Bob Balaban,Christopher Hawthorne,Randy Quaid,70
1565,David Hugh Jones,Stephen Metcalfe,Robert De Niro,53
1566,Gary David Goldberg,William Wharton,Jack Lemmon,107
1567,Jim Drake,Michael Short,Peter Boyle,33
1568,Bruce Robinson,Bruce Robinson,Richard E. Grant,100
1569,Gary Sherman,Gary Sherman,Staci Keanan,144
1570,Malcolm Mowbray,Leonard Glasser,John Lithgow,62
1571,Norman René,Craig Lucas,Stephen Caffrey,37
1572,John Howley,Martha Moran,Edward Asner,34
1573,Martin Davidson,Anne Rivers Siddons,Ally Sheedy,101
1574,Nick Castle,Nick Castle,Gregory Hines,39
1575,Euzhan Palcy,André P. Brink,Donald Sutherland,111
1576,Dwight H. Little,Gaston Leroux,Robert Englund,44
1577,Dave Thomas,Steven Greene,John Travolta,31
1578,Robert M. Young,Shimon Arama,Willem Dafoe,93
1579,Hal Hartley,Hal Hartley,Adrienne Shelly,54
1580,Joseph Ruben,Wesley Strick,James Woods,80
1581,James Isaac,Allyn Warner,Lance Henriksen,150
1582,Mel Smith,Richard Curtis,Jeff Goldblum,46
1583,Michael Herz,Lloyd Kaufman,Ron Fazio,70
1584,John Frankenheimer,Robert Foster,Don Johnson,97
1585,Costa-Gavras,Joe Eszterhas,Jessica Lange,63
1586,Thom Eberhardt,Mark Spragg,Matthew Modine,135
1587,Takeshi Kitano,Hisashi Nozawa,Takeshi Kitano,84
1588,Jack Sholder,David Rich,Kiefer Sutherland,139
1589,Richard Baskin,Dean Pitchford,Lorraine Bracco,127
1590,Jane Campion,Gerard Lee,Geneviève Lemon,16
1591,Douglas Day Stewart,Douglas Day Stewart,Kirk Cameron,80
1592,Thomas Schlamme,Beth Henley,Holly Hunter,100
1593,Damian Harris,Damian Harris,Dexter Fletcher,74
1594,Larry Peerce,Bob Woodward,Michael Chiklis,126
1595,Hugh Hudson,Michael Weller,Donald Sutherland,146
1596,Denys Arcand,Denys Arcand,Lothaire Bluteau,87
1597,Robert Wise,Allan A. Goldstein,Jason Gedrick,33
1598,Jim Wheat,Ken Wheat,Jillian McWhirter,85
1599,Jim Kouf,Jim Kouf,Hoyt Axton,79
1600,James Ivory,Tama Janowitz,Bernadette Peters,48
1601,Michael Schroeder,John Crowther,Stephen Shellen,46
1602,Ildikó Enyedi,Ildikó Enyedi,Dorota Segda,24
1603,Paul Bartel,Paul Bartel,Jacqueline Bisset,110
1604,Thierry Notz,Thomas McKelvey Cleaver,Andrew Stevens,65
1605,John Milius,Pierre Schoendoerffer,Nick Nolte,89
1606,Alan J. Pakula,Alan J. Pakula,Jeff Bridges,141
1607,Tibor Takács,David Chaskin,Jenny Wright,126
1608,Jonathan Kaplan,Barbara Benedek,Glenn Close,127
1609,Norman Jewison,Bobbie Ann Mason,Emily Lloyd,58
1610,Ted Kotcheff,John Ehle,Kurt Russell,32
1611,Paul Mazursky,Isaac Bashevis Singer,Ron Silver,24
1612,Cedric Sundstrom,Avi Kleinberger,David Bradley,85
1613,Michael Crichton,Steve Ransohoff,Burt Reynolds,124
1614,Will Mackenzie,Dan Lewandowski,Mark Harmon,123
1615,Gérard Kikoïne,J.P. Félix,Anthony Perkins,116
1616,Robert Ellis Miller,Noreen Stone,Brooke Shields,40
1617,Savage Steve Holland,Terrel Seltzer,Anthony Edwards,87
1618,Andrew Lane,Alan Moskowitz,Zach Galligan,22
1619,Luis Puenzo,Carlos Fuentes,Jane Fonda,138
1620,William Lustig,Phil Alden Robinson,Judd Nelson,15
1621,Jeff Blyth,Alan Caillou,Keith Coogan,91
1622,Patrice Leconte,Georges Simenon,Michel Blanc,41
1623,John D. Hancock,Greg Taylor,Sam Elliott,25
1624,Bertrand Blier,Bertrand Blier,Gérard Depardieu,45
1625,Randal Kleiser,Elizabeth Jane Howard,Jesse Birdsall,106
1626,David Greenwalt,Neil Levy,Cheech Marin,86
1627,Susan Seidelman,Nora Ephron,Peter Falk,89
1628,Howard Brookner,Howard Brookner,Josef Sommer,144
1629,Michael Herz,Lloyd Kaufman,Ron Fazio,91
1630,Steve Carver,Alistair MacLean,Michael Dudikoff,54
1631,Lee Grant,Monte Merrick,Sean Astin,51
1632,Michael A. Simpson,Scott B. Sowers,Clark Brandon,119
1633,David Odell,Fredric Brown,Randy Quaid,29
1634,Peter Masterson,Spencer Eastman,Roy Scheider,87
1635,John Duigan,John Sacret Young,Raul Julia,17
1636,Patrick Sheane Duncan,Patrick Sheane Duncan,Jonathan Emerson,143
1637,Percy Adlon,Christopher Doherty,Marianne Sägebrecht,137
1638,Nancy Savoca,Nancy Savoca,Annabella Sciorra,74
1639,Joel Zwick,Tom Schulman,John Larroquette,74
1640,Michael Winner,Alan Ayckbourn,Jeremy Irons,88
1641,Joyce Chopra,Jeremy Pikser,Diane Keaton,100
1642,Bill Forsyth,John Sayles,Burt Reynolds,137
1643,Michael Fischa,Blake Schaffer,Jim Brown,142
1644,Martin Scorsese,Nicholas Pileggi,Robert De Niro,24
1645,Francis Ford Coppola,Mario Puzo,Al Pacino,124
1646,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,77
1647,Garry Marshall,J.F. Lawton,Richard Gere,52
1648,Chris Columbus,John Hughes,Macaulay Culkin,97
1649,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze,64
1650,Kevin Costner,Michael Blake,Kevin Costner,140
1651,Ron Underwood,S.S. Wilson,Kevin Bacon,144
1652,Renny Harlin,Steven E. de Souza,Bruce Willis,143
1653,Rob Reiner,Stephen King,James Caan,149
1654,Ivan Reitman,Murray Salem,Arnold Schwarzenegger,78
1655,Brian De Palma,Michael Cristofer,Tom Hanks,139
1656,Steve Barron,Kevin Eastman,Judith Hoag,106
1657,Tim Burton,Tim Burton,Johnny Depp,150
1658,John McTiernan,Tom Clancy,Sean Connery,72
1659,Warren Beatty,Chester Gould,Warren Beatty,147
1660,Penny Marshall,Oliver Sacks,Robert De Niro,105
1661,Volker Schlöndorff,Margaret Atwood,Natasha Richardson,36
1662,David Lynch,Barry Gifford,Nicolas Cage,131
1663,Stephen Hopkins,Jim Thomas,Danny Glover,108
1664,Irvin Kershner,Edward Neumeier,Peter Weller,116
1665,Nicolas Roeg,Roald Dahl,Anjelica Huston,72
1666,Adrian Lyne,Bruce Joel Rubin,Tim Robbins,139
1667,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,97
1668,Sam Raimi,Sam Raimi,Liam Neeson,146
1669,Dennis Hopper,Charles Williams,Don Johnson,32
1670,John Waters,John Waters,Johnny Depp,25
1671,Alan J. Pakula,Scott Turow,Harrison Ford,66
1672,Frank Marshall,Don Jakoby,Jeff Daniels,132
1673,Tony Scott,Robert Towne,Tom Cruise,65
1674,Abel Ferrara,Nicholas St. John,Christopher Walken,20
1675,Joe Dante,Chris Columbus,Zach Galligan,118
1676,John G. Avildsen,Sylvester Stallone,Sylvester Stallone,51
1677,Geoff Murphy,John Fusco,Emilio Estevez,143
1678,Joel Coen,Joel Coen,Gabriel Byrne,147
1679,Tony Scott,Jim Harrison,Kevin Costner,107
1680,Harry Hook,William Golding,Balthazar Getty,71
1681,Luc Besson,Luc Besson,Anne Parillaud,137
1682,Richard Benjamin,Patty Dann,Cher,146
1683,John Lafia,Don Mancini,Alex Vincent,108
1684,John Patrick Shanley,John Patrick Shanley,Tom Hanks,143
1685,Richard Linklater,Richard Linklater,Richard Linklater,20
1686,Joel Schumacher,Peter Filardi,Kiefer Sutherland,77
1687,Kar-Wai Wong,Jeffrey Lau,Leslie Cheung,58
1688,William Peter Blatty,William Peter Blatty,George C. Scott,30
1689,Simon Wincer,John Hill,Tom Selleck,78
1690,Clive Barker,Clive Barker,Craig Sheffer,148
1691,Jack Nicholson,Robert Towne,Jack Nicholson,95
1692,Sheldon Lettich,Stefani Warren,Jean-Claude Van Damme,124
1693,Mike Figgis,Henry Bean,Richard Gere,118
1694,Emile Ardolino,Coline Serreau,Tom Selleck,80
1695,Dennis Dugan,Scott Alexander,Michael Oliver,27
1696,Stephen Frears,Jim Thompson,Anjelica Huston,114
1697,Herbert Ross,Nora Ephron,Steve Martin,42
1698,Hendel Butoy,Jim Cox,Bob Newhart,37
1699,Reginald Hudlin,Reginald Hudlin,Christopher Reid,111
1700,Walter Hill,John Fasano,Eddie Murphy,52
1701,Tom Savini,John A. Russo,Tony Todd,39
1702,John Schlesinger,Daniel Pyne,Melanie Griffith,61
1703,Mike Nichols,Carrie Fisher,Meryl Streep,26
1704,Philip Kaufman,Anaïs Nin,Fred Ward,96
1705,Bruce Malmuth,Steven McKay,Steven Seagal,53
1706,Allan Moyle,Allan Moyle,Christian Slater,108
1707,Franco Zeffirelli,William Shakespeare,Mel Gibson,42
1708,George Miller,Karin Howard,Jonathan Brandis,123
1709,Emilio Estevez,Emilio Estevez,Charlie Sheen,134
1710,Jeff Burr,Kim Henkel,Kate Hodge,66
1711,Barbet Schroeder,Alan Dershowitz,Jeremy Irons,142
1712,Frank Henenlotter,Robert Martin,James Lorinz,55
1713,Phil Joanou,Dennis McIntyre,Sean Penn,74
1714,John Badham,Louis Venosta,Mel Gibson,105
1715,Michael Caton-Jones,Monte Merrick,Matthew Modine,114
1716,Renny Harlin,Daniel Waters,Andrew Dice Clay,51
1717,Dwight H. Little,Michael Grais,Steven Seagal,66
1718,Sally Mattison,Catherine Cyran,Keely Christian,51
1719,Akira Kurosawa,Akira Kurosawa,Akira Terao,137
1720,Roger Spottiswoode,Christopher Robbins,Mel Gibson,98
1721,Lawrence Kasdan,John Kostmayer,Kevin Kline,98
1722,Mark L. Lester,Mark L. Lester,Bradley Gregg,86
1723,Deran Sarafian,David S. Goyer,Jean-Claude Van Damme,65
1724,Luis Mandoki,Glenn Savan,Susan Sarandon,55
1725,Abbas Kiarostami,Abbas Kiarostami,Hossain Sabzian,87
1726,Howard Franklin,Jay Cronley,Bill Murray,19
1727,Richard Stanley,Steve MacManus,Dylan McDermott,99
1728,James Orr,James Orr,Jim Belushi,111
1729,Andrew Bergman,Andrew Bergman,Marlon Brando,22
1730,Kathryn Bigelow,Kathryn Bigelow,Jamie Lee Curtis,24
1731,Peter Medak,Philip Ridley,Gary Kemp,79
1732,Lewis Teague,Chuck Pfarrer,Charlie Sheen,131
1733,Ralph S. Singleton,Stephen King,David Andrews,86
1734,Bernardo Bertolucci,Paul Bowles,Debra Winger,61
1735,Craig R. Baxley,Jonathan Tydor,Dolph Lundgren,107
1736,Paul Schrader,Ian McEwan,Christopher Walken,19
1737,Spike Lee,Spike Lee,Denzel Washington,97
1738,Jim Abrahams,Karen Leigh Hopkins,Winona Ryder,59
1739,Curtis Hanson,David Koepp,Rob Lowe,60
1740,Amy Heckerling,Amy Heckerling,John Travolta,141
1741,Tom Stoppard,Tom Stoppard,Gary Oldman,119
1742,John Harrison,Michael McDowell,Debbie Harry,111
1743,Clint Eastwood,Boaz Yakin,Clint Eastwood,52
1744,Peter Weir,Peter Weir,Gérard Depardieu,68
1745,Whit Stillman,Whit Stillman,Carolyn Farina,111
1746,Agnieszka Holland,Agnieszka Holland,Solomon Perel,89
1747,Jean-Paul Rappeneau,Edmond Rostand,Gérard Depardieu,133
1748,John Cornell,Paul Hogan,Paul Hogan,79
1749,Karel Reisz,Arthur Miller,Debra Winger,122
1750,Anthony Minghella,Anthony Minghella,Juliet Stevenson,110
1751,Sydney Pollack,Judith Rascoe,Robert Redford,146
1752,Bob Hathcock,Alan Burnett,Alan Young,134
1753,Fred Schepisi,John le Carré,Sean Connery,63
1754,Mike Leigh,Mike Leigh,Alison Steadman,107
1755,Joseph Barbera,Dennis Marks,George O'Hanlon,135
1756,Clint Eastwood,Peter Viertel,Clint Eastwood,68
1757,Barry Levinson,Barry Levinson,Aidan Quinn,149
1758,Peter Hyams,Peter Hyams,Gene Hackman,124
1759,Roger Donaldson,Ken Friedman,Robin Williams,43
1760,Arthur Hiller,Jill Mazursky,Jim Belushi,96
1761,Peter Bogdanovich,Larry McMurtry,Jeff Bridges,41
1762,William Friedkin,Dan Greenburg,Jenny Seagrove,118
1763,Bob Logan,Bob Logan,Leslie Nielsen,150
1764,David Green,Step Tyner,Nicolas Cage,47
1765,George Armitage,Charles Willeford,Fred Ward,97
1766,Jim Sheridan,Jim Sheridan,Richard Harris,135
1767,James Foley,Jim Thompson,Jason Patric,22
1768,Woody Allen,Woody Allen,Mia Farrow,68
1769,Peter Israelson,David Thoreau,C. Thomas Howell,108
1770,Robert Resnikoff,Robert Resnikoff,Lou Diamond Phillips,70
1771,Aaron Norris,James Bruner,Chuck Norris,15
1772,Michael Cimino,Joseph Hayes,Mickey Rourke,48
1773,Yimou Zhang,Heng Liu,Gong Li,104
1774,Martin Sheen,Dennis Shryack,Charlie Sheen,73
1775,Adam Simon,Charles Beaumont,Bill Pullman,17
1776,Patrice Leconte,Claude Klotz,Jean Rochefort,24
1777,John R. Cherry III,Charlie Cohen,Jim Varney,69
1778,Tom Ropelewski,Tom Ropelewski,Richard Alexander,117
1779,Mark Griffiths,Gary Paulsen,Jared Rushton,33
1780,Richard Pearce,John Cork,Sissy Spacek,24
1781,Bob Rafelson,William Harrison,Patrick Bergin,125
1782,Dario Argento,Edgar Allan Poe,Adrienne Barbeau,87
1783,James Ivory,Evan S. Connell,Paul Newman,102
1784,Hal Hartley,Hal Hartley,Adrienne Shelly,22
1785,Tony Bill,Mitch Markowitz,Dudley Moore,104
1786,Jan Egleson,Simon Brett,Michael Caine,124
1787,Malcolm Mowbray,Sarah Bird,Steve Guttenberg,91
1788,Roger Corman,Brian Aldiss,John Hurt,66
1789,Jonathan Lynn,Jonathan Lynn,Eric Idle,76
1790,Sidney Lumet,Edwin Torres,Nick Nolte,77
1791,Jane Campion,Janet Frame,Kerry Fox,136
1792,Martin Ritt,Pat Barker,Jane Fonda,121
1793,Franco Amurri,David Loughery,Dennis Hopper,93
1794,Paul Brickman,Barbara Benedek,Jessica Lange,15
1795,Richard Correll,Steven Long Mitchell,Roger Rose,129
1796,Sidney Poitier,Brent Maddock,Bill Cosby,131
1797,Robert Shaye,William Kotzwinkle,Chris Young,64
1798,Ken Loach,Jim Allen,Frances McDormand,72
1799,Giuseppe Tornatore,Massimo De Rita,Marcello Mastroianni,90
1800,Patrick Read Johnson,Patrick Read Johnson,Douglas Barr,73
1801,Michael Lehmann,Michael Lehmann,Ed Begley Jr.,132
1802,Alan Alda,Alan Alda,Alan Alda,106
1803,James Bond III,James Bond III,James Bond III,142
1804,James D. Parriott,James D. Parriott,Bob Hoskins,102
1805,Yves Robert,Louis Nucéra,Philippe Caubère,61
1806,Robert Altman,Julian Mitchell,Tim Roth,122
1807,Katt Shea,Andy Ruben,Christina Applegate,82
1808,John Erman,Olive Higgins Prouty,Bette Midler,149
1809,Greydon Clark,Menahem Golan,Laura Harring,121
1810,Bob Clark,Richard Christian Matheson,Gene Hackman,102
1811,Éric Rohmer,Éric Rohmer,Anne Teyssèdre,25
1812,Charles Burnett,Charles Burnett,Danny Glover,70
1813,John Boorman,Telsche Boorman,Dabney Coleman,117
1814,Alan Rudolph,Alan Rudolph,Tom Berenger,120
1815,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,128
1816,Richard Benjamin,Nat Mauldin,Anthony Edwards,52
1817,Gregg Champion,John Blumenthal,Dabney Coleman,49
1818,Cedric Sundstrom,Gideon Amir,Michael Dudikoff,139
1819,Tibor Takács,Michael Nankin,Louis Tripp,93
1820,Alan Parker,Alan Parker,Dennis Quaid,144
1821,Derek Jarman,,Tilda Swinton,35
1822,Joel Silberg,Joel Silberg,J. Eddie Peck,63
1823,Director,Grant Morris,Cheech Marin,31
1824,Louis Malle,Louis Malle,Miou-Miou,54
1825,John Mackenzie,Jere Cunningham,Brian Dennehy,88
1826,Cynthia Scott,Gloria Demers,Alice Diabo,148
1827,Donald Petrie,Mitchel Katlin,Dana Carvey,31
1828,Leonard Nimoy,Bob Greene,Gene Wilder,91
1829,Prince,Prince,Prince,58
1830,Joe Roth,Mike Binder,Patrick Dempsey,46
1831,Carl Reiner,Martha Goldhirsh,Kirstie Alley,110
1832,Marisa Silver,Larry Ketron,Adrian Pasdar,150
1833,Kristine Peterson,Jackson Barr,Marc Singer,89
1834,Jim Wynorski,Edgar Allan Poe,Nicole Eggert,103
1835,John Frankenheimer,Stephen Peters,Roy Scheider,149
1836,Jon Amiel,Mario Vargas Llosa,Barbara Hershey,123
