Id,Director,writer,actor,crew
1257,Katsuhiro Ôtomo,Katsuhiro Ôtomo,Mitsuo Iwata,102
1258,Giuseppe Tornatore,Giuseppe Tornatore,Philippe Noiret,55
1259,Alan Parker,Chris Gerolmo,Gene Hackman,39
1260,Tom Holland,Don Mancini,Catherine Hicks,88
1261,Ivan Reitman,William Davies,Arnold Schwarzenegger,134
1262,David Zucker,Jerry Zucker,Leslie Nielsen,15
1263,Howard Deutch,John Hughes,Dan Aykroyd,67
1264,Roger Donaldson,Heywood Gould,Tom Cruise,21
1265,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,29
1266,Christopher Cain,John Fusco,Emilio Estevez,109
1267,Charles Crichton,John Cleese,John Cleese,97
1268,Mike Nichols,Kevin Wade,Melanie Griffith,27
1269,Newt Arnold,Sheldon Lettich,Jean-Claude Van Damme,22
1270,Martin Scorsese,Nikos Kazantzakis,Willem Dafoe,111
1271,Jonathan Demme,Barry Strugatz,Michelle Pfeiffer,78
1272,Don Bluth,Stu Krieger,Pat Hingle,33
1273,Peter MacDonald,David Morrell,Sylvester Stallone,104
1274,Jonathan Kaplan,Tom Topor,Kelly McGillis,65
1275,Stephen Frears,Christopher Hampton,Glenn Close,48
1276,Julien Temple,Julie Brown,Geena Davis,98
1277,John Waters,John Waters,Sonny Bono,63
1278,David Cronenberg,David Cronenberg,Jeremy Irons,82
1279,Ron Shelton,Ron Shelton,Kevin Costner,44
1280,Luc Besson,Luc Besson,Jean-Marc Barr,121
1281,Philip Kaufman,Milan Kundera,Daniel Day-Lewis,65
1282,Chuck Russell,Theodore Simonson,Shawnee Smith,79
1283,George Scribner,Jim Cox,Joey Lawrence,50
1284,Zalman King,Zalman King,Sherilyn Fenn,81
1285,Garry Marshall,Iris Rainer,Bette Midler,110
1286,Walter Hill,Walter Hill,Arnold Schwarzenegger,73
1287,Renny Harlin,Wes Craven,Robert Englund,38
1288,Lawrence Kasdan,Anne Tyler,William Hurt,70
1289,Terry Gilliam,Charles McKeown,John Neville,99
1290,Stephen Chiodo,Charles Chiodo,Grant Cramer,85
1291,Dwight H. Little,Dhani Lipsius,Donald Pleasence,148
1292,James Signorelli,Sam Egan,Cassandra Peterson,51
1293,Stewart Raffill,Stewart Raffill,Christine Ebersole,24
1294,Andrew Davis,Andrew Davis,Steven Seagal,137
1295,Richard Donner,Mitch Glazer,Bill Murray,57
1296,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,66
1297,Keenen Ivory Wayans,Keenen Ivory Wayans,Keenen Ivory Wayans,28
1298,Stan Winston,Ed Justin,Lance Henriksen,114
1299,Frank Oz,Dale Launer,Steve Martin,45
1300,John Carl Buechler,Daryl Haney,Terry Kiser,131
1301,Greg Beeman,Neil Tolkin,Corey Haim,94
1302,Tony Randel,Peter Atkins,Doug Bradley,131
1303,Roman Polanski,Roman Polanski,Harrison Ford,131
1304,Dennis Hopper,Michael Schiffer,Sean Penn,84
1305,Richard Benjamin,Jerico Stone,Dan Aykroyd,128
1306,Fred Schepisi,John Bryson,Meryl Streep,43
1307,Ken Russell,Ken Russell,Amanda Donohoe,79
1308,Neil Jordan,Neil Jordan,Peter O'Toole,149
1309,Robert Bierman,Joseph Minion,Nicolas Cage,133
1310,Ken Wiederhorn,Ken Wiederhorn,James Karen,63
1311,Ken Annakin,Astrid Lindgren,Tami Erin,147
1312,John Sayles,Eliot Asinof,John Cusack,20
1313,Ramón Menéndez,Ramón Menéndez,Edward James Olmos,80
1314,William Lustig,Larry Cohen,Tom Atkins,116
1315,Pedro Almodóvar,Pedro Almodóvar,Carmen Maura,17
1316,John Hughes,John Hughes,Kevin Bacon,33
1317,Alan Myerson,Neal Israel,Bubba Smith,76
1318,Robert Towne,Robert Towne,Mel Gibson,17
1319,Kevin Tenney,Joe Augustyn,Cathy Podewell,127
1320,Mike Nichols,Neil Simon,Matthew Broderick,19
1321,Zelda Barron,Lanier Laney,Phoebe Cates,47
1322,Daniel Petrie,David Saperstein,Don Ameche,36
1323,Gary Sherman,Gary Sherman,Heather O'Rourke,99
1324,Anthony Hickox,Anthony Hickox,Zach Galligan,24
1325,George Roy Hill,Jay Cronley,Chevy Chase,143
1326,Kar-Wai Wong,Jeffrey Lau,Andy Lau,25
1327,Tommy Lee Wallace,Tom Holland,William Ragsdale,104
1328,Allan Arkush,Brian Doyle-Murray,Jackie Mason,21
1329,Spike Lee,Spike Lee,Laurence Fishburne,83
